Date,Open,High,Low,Close,Volume
2001-01-02 00:00:00+05:30,3953.219970703125,4028.570068359375,3929.3701171875,4018.8798828125,0
2001-01-03 00:00:00+05:30,3977.580078125,4067.659912109375,3977.580078125,4060.02001953125,0
2001-01-04 00:00:00+05:30,4180.97021484375,4180.97021484375,4109.5498046875,4115.3701171875,0
2001-01-05 00:00:00+05:30,4116.33984375,4195.009765625,4115.35009765625,4183.72998046875,0
2001-01-06 00:00:00+05:30,,,,,0
2001-01-07 00:00:00+05:30,,,,,0
2001-01-08 00:00:00+05:30,4164.759765625,4206.72021484375,4101.52978515625,4120.43017578125,0
2001-01-09 00:00:00+05:30,4114.740234375,4166.83984375,4101.009765625,4125.31005859375,0
2001-01-10 00:00:00+05:30,4151.580078125,4155.85986328125,4035.43994140625,4047.639892578125,0
2001-01-11 00:00:00+05:30,4066.1298828125,4077.5400390625,4006.5400390625,4027.1298828125,0
2001-01-12 00:00:00+05:30,4059.409912109375,4082.77001953125,4018.280029296875,4036.580078125,0
2001-01-13 00:00:00+05:30,,,,,0
2001-01-14 00:00:00+05:30,,,,,0
2001-01-15 00:00:00+05:30,4074.320068359375,4080.139892578125,4018.239990234375,4046.760009765625,0
2001-01-16 00:00:00+05:30,4052.179931640625,4097.06982421875,4023.89990234375,4070.72998046875,0
2001-01-17 00:00:00+05:30,4101.18017578125,4125.10009765625,4072.090087890625,4083.409912109375,0
2001-01-18 00:00:00+05:30,4106.14990234375,4122.66015625,4085.81005859375,4113.2099609375,0
2001-01-19 00:00:00+05:30,4149.25,4201.93994140625,4137.31005859375,4194.4599609375,0
2001-01-20 00:00:00+05:30,,,,,0
2001-01-21 00:00:00+05:30,,,,,0
2001-01-22 00:00:00+05:30,4247.4501953125,4278.5498046875,4223.56005859375,4267.10986328125,0
2001-01-23 00:00:00+05:30,4277.830078125,4321.75,4272.8701171875,4296.68994140625,0
2001-01-24 00:00:00+05:30,4320.509765625,4339.41015625,4295.7099609375,4326.419921875,0
2001-01-25 00:00:00+05:30,4327.83984375,4341.330078125,4273.7001953125,4330.22021484375,0
2001-01-26 00:00:00+05:30,,,,,0
2001-01-27 00:00:00+05:30,,,,,0
2001-01-28 00:00:00+05:30,,,,,0
2001-01-29 00:00:00+05:30,4158.85986328125,4262.759765625,4158.85986328125,4234.56982421875,0
2001-01-30 00:00:00+05:30,4269.41015625,4373.22021484375,4256.759765625,4372.0400390625,0
2001-01-31 00:00:00+05:30,4367.580078125,4409.330078125,4322.68017578125,4326.72021484375,0
2001-02-01 00:00:00+05:30,4303.1298828125,4355.39013671875,4230.169921875,4286.10986328125,0
2001-02-02 00:00:00+05:30,4280.9599609375,4373.39990234375,4280.9599609375,4352.259765625,0
2001-02-03 00:00:00+05:30,,,,,0
2001-02-04 00:00:00+05:30,,,,,0
2001-02-05 00:00:00+05:30,4337.52001953125,4397.18994140625,4337.52001953125,4370.47021484375,0
