Date,Open,High,Low,Close,Volume
2001-01-04 00:00:00+09:00,13898.08984375,13990.5703125,13667.6796875,13691.490234375,0
2001-01-05 00:00:00+09:00,13763.2197265625,13947.0595703125,13725.4599609375,13867.6103515625,0
2001-01-06 00:00:00+09:00,,,,,0
2001-01-07 00:00:00+09:00,,,,,0
2001-01-08 00:00:00+09:00,,,,,0
2001-01-09 00:00:00+09:00,13732.849609375,13732.849609375,13460.8203125,13610.509765625,0
2001-01-10 00:00:00+09:00,13593.16015625,13593.16015625,13349.150390625,13432.650390625,0
2001-01-11 00:00:00+09:00,13433.08984375,13436.6103515625,13123.8095703125,13201.0703125,0
2001-01-12 00:00:00+09:00,13246.2001953125,13451.9501953125,13246.2001953125,13347.740234375,0
2001-01-13 00:00:00+09:00,,,,,0
2001-01-14 00:00:00+09:00,,,,,0
2001-01-15 00:00:00+09:00,13450.2802734375,13573.5498046875,13441.51953125,13506.23046875,0
2001-01-16 00:00:00+09:00,13561.73046875,13598.2001953125,13442.08984375,13584.4501953125,0
2001-01-17 00:00:00+09:00,13593.830078125,13688.900390625,13476.5498046875,13667.6298828125,0
2001-01-18 00:00:00+09:00,13734.7900390625,13931.91015625,13723.2099609375,13873.919921875,0
2001-01-19 00:00:00+09:00,13956.33984375,14186.6201171875,13947.919921875,13989.1201171875,0
2001-01-20 00:00:00+09:00,,,,,0
2001-01-21 00:00:00+09:00,,,,,0
2001-01-22 00:00:00+09:00,14010.0703125,14039.400390625,13841.0302734375,14032.419921875,0
2001-01-23 00:00:00+09:00,13966.6396484375,14060.23046875,13913.099609375,13984.66015625,0
2001-01-24 00:00:00+09:00,14020.6103515625,14034.1103515625,13857.830078125,13893.580078125,0
2001-01-25 00:00:00+09:00,13879.830078125,13879.830078125,13730.169921875,13803.3798828125,0
2001-01-26 00:00:00+09:00,13726.98046875,13750.23046875,13626.0498046875,13696.0595703125,0
2001-01-27 00:00:00+09:00,,,,,0
2001-01-28 00:00:00+09:00,,,,,0
